Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2002,Manmadhudu,Telugu,K. Vijaya Bhaskar,"Akkineni Nagarjuna, Sonali Bendre, Anshu",romance,https://en.wikipedia.org/wiki/Manmadhudu,"Abhiram (Nagarjuna Akkineni) 24 is a manager in an ad agency, owned by his paternal uncle Prasad (Tanikella Bharani)42. He despises women and expresses his hatred every minute of every day. But his office is populated by women as it is an ad agency and he has to live with it. Prasad appoints Harika (Sonali Bendre) 21 as the new assistant manager and Abhiram hates to have another female employee in his office. He never leaves an opportunity to belittle her and gradually Harika gets fed up and goes to Chairman Prasad to submit her resignation. Prasad asks her to think about it twice and tells her about Abhiram's past and why he deeply hates women.
Abhi lost his parents when he was too young and his grandfather (M. Balaiah) brings him up. He was the only heir to their family business and enjoys life in his own way. He meets and falls in love with Maheswari (Anshu)21, who is the niece of an employee (Chandra Mohan) 51 in Abhi's grandfather's company. Alarmed that he will just play with her and leave her, Maheshwari's uncle takes her away to his hometown and arranges her engagement with another man. Abhi goes there and tries to bring Maheswari with him assuring her uncle that he is going to marry her. But on the way to his grandfather's home, they meet with a serious accident. When Abhi returns to his consciousness, his grandfather tells him that Maheswari married another person and shows him the invitation card. Abhi feels cheated and starts to hate all the women and thinks that they all are superficial and treacherous.
After listening to this, Harika feels sympathy towards Abhi's pain and his child like mind. She decides to stay with the company and Prasad promotes her as manager and demotes Abhi as assistant manager for some time. Though infuriated, Abhi has no choice but stay and goes with her to Paris on a business trip. There they become close and Harika helps him with his phobia of water. Abhi starts to fall for Harika but is disappointed and distances himself from her when she reveals that she is engaged to be married.
After they come back to India, Abhi behaves in a childish manner to get over his disappointment. Harika reciprocates his feelings but is confused about getting married as Abhi won't express his feelings. Meanwhile, Abhi's aunt (Sudha) reveals that Maheswari actually died in the accident they were in and they hid that information fearing that Abhi might not come out of the shock of that news. Abhi realizes it was foolish of him to hate women but is too shocked to express his feelings to Harika. At last Harika dares and tells him that this marriage was her parents choice not hers, indirectly indicating that she was ready to come to him if he asks. Prasad comes to know that Abhi and Harika have feelings for each other and encourages Abhi to go and get her. Finally he asks her to marry him and she breaks her previous engagement and marries him."
1957,The Naked Truth,British,Mario Zampi,"Peter Sellers, Peggy Mount",comedy,https://en.wikipedia.org/wiki/The_Naked_Truth_(1957_film),"Nigel Dennis (Dennis Price) is a blackmailer who threatens to publish embarrassing secrets in his magazine The Naked Truth. After attempting to blackmail a famous scientist (who commits suicide), and an MP (who suffers a heart attack in parliament, and probably succumbs), his latest targets are Lord Henry Mayley (Terry-Thomas), television host Sonny MacGregor (Peter Sellers), writer Flora Ransom (Peggy Mount), and model Melissa Right (Shirley Eaton). Several of them decide independently that murder would be a better solution than paying. However, it is Mayley who by sheer bad luck nearly ends up the victim of both MacGregor and Ransom's schemes. The four eventually join forces and try again. That attempt also fails, but Dennis is then arrested for an earlier crime.
When Dennis threatens to reveal all at his trial, Mayley comes up with a scheme to break him out of prison and send him to South America, with the help of hundreds of his other victims. They phone in numerous fake calls for help, distracting the London police, while Mayley, MacGregor, and MacGregor's reluctant assistant Porter (Kenneth Griffith), disguised as policemen, whisk Dennis away. Knocking Dennis unconscious periodically, they finally end up in the cabin of a blimp on the way to a rendezvous with an outbound ship. To their dismay, when he comes to, Dennis refuses to go along with their plan, as he in fact never wanted to reveal any of their secrets in court. He was, in fact, optimistic about the trial anyway, and reveals that the evidence was his copies of ""The Naked Truth"" which had been destroyed by the plotters earlier. Happy to have outsmarted his opponents again, but unaware of where he is, Dennis then steps out for some air and plummets to the ocean below. When MacGregor celebrates by shooting his pistol, it punctures the blimp, which shoots away into the distance."
2010,Into the White Night,Japanese,Yoshihiro Fukagawa,"Maki Horikita, Kengo Kora, Eiichiro Funakoshi",crime,https://en.wikipedia.org/wiki/Into_the_White_Night,"A pawn shop owner in Osaka is murdered, but due to a lack of conclusive evidence the police lists the man's death as a suicide. Detective Sasagaki, who investigated the case, can't forget the main suspect's daughter Yukiho (Maki Horikita) and the pawn shop owner's son Ryoji.
As time goes by, more mysterious deaths surround Yukiho and Ryoji. Detective Sasagaki, still unable to let go of the pawn shop owner case, discovers startling details about Yukiho and Ryoji."
2014,Om Shanti Oshana,Malayalam,Jude Anthony Joseph,"Nivin Pauly, Nazriya Nazim, Vineeth Srinivasan, Aju Varghese, Vinaya Prasad, Renji Panicker, Lal Jose",romantic comedy,https://en.wikipedia.org/wiki/Om_Shanti_Oshana,"The film begins as Dr. Matthew Devasya (Renji Panicker) anxiously paces the hall outside of a delivery room. He learns that his wife has delivered a baby boy and thanks God for the good news. A stranger comments that Mathew was lucky it's not a daughter, as he would have had to worry about her all his life. As the stranger says this, a nurse comes out of the delivery room carrying the baby, apologizing that she made a mistake, and confirming that the baby is actually a girl. Mathew glares at the stranger and praises God once again.
The story resumes in 1999 where the baby girl, Pooja Mathew (Nazriya Nazim), has grown up to become a tomboy and is now in grade 10 and is fifteen years old. She introduces the audience to her parents. Her father is a doctor by profession and enjoys recording and listening to his own renditions of songs. Her mother, a college lecturer by profession, is sweet and down-to-earth woman who loves cooking and appreciating her own culinary skills. Pooja also has two friends: Neetu (Akshaya Premnath), a flirt, and Donna (Oshein Mertil), a foodie.
Pooja recounts her childhood memories of being a tomboy, riding a motorbike and of her friendship with Rachel Aunty (Vinaya Prasad) who makes and sells wine as her job. Pooja is her official wine taster. During one of their sessions, she tells Pooja that she can either choose to marry a man she loves or learn to love a stranger that she is forced to marry. Pooja then decides that she must find someone herself.
She settles on Yardley (Harikrishnan), a popular boy in her school. During a trip from her school, Yardley approaches Pooja with a proposal. Pooja ponders whether or not to accept. The next day, she and her friends are teased by a gang of men. Pooja gets angry and confronts them. As she does, one of the gang twists her arm. Just then, Giri (Nivin Pauly), a random stranger comes out through one of the rides and saves her. Pooja instantly falls for Giri and immediately leaves Yardley saying she does not have romantic feelings for him.
Over the course of the rest of the film, Pooja constantly tries to attract the attention of Giri, who is a part-time farmer but also teaches in the Kung Fu Academy. At one point, she learns from her cousin David Kaanjani (Aju Varghese) that another one of her cousins (and Kaanjani's sister), Julie (Poojitha Menon), used to be Giri's girlfriend. She is told that Julie was married off to another man from America. She learns from Rachel that Giri had been thought of as a suitor to her daughter Helen as well. The year is 2000. On Giri's birthday, which also happens to be a Palm Sunday, Pooja decides that she will propose to him by bringing him a locket. It starts raining and they take shelter in a temple. Pooja declares her love but Giri tells her that she is just a kid, and that she needs to concentrate on her studies because she is destined to become successful. Pooja drops the locket and she leaves the temple into the rain crying. At this juncture, Pooja is fifteen while Giri is seven years older at twenty-two.
Pooja is distraught but focuses on her studies as Giri had requested. She passes her medical entrance exams and goes to Kozhikode Medical College. Pooja tries to contact Giri before leaving, but learns that he is visiting China on a Kung Fu Academy trip. Actress Teenu did the role of the Chinese woman who appears as Giri's wife during a dream Pooja had. At the medical college, she is still friends with Neetu, and another student, Anna (Anju Kurian). She also befriends a young professor, Dr. Prasad Varkey (Vineeth Srinivasan). During her final year in 2005-06, she runs into Giri again. She confides in Dr. Prasad about Giri and he advises her that enough time has passed and she should pursue him if she is still interested. When Giri's mother is admitted to the hospital, Pooja takes care of her in an effort to get closer to Giri. When Giri's friend Thennal (Nikki Galrani) comes to visit, Pooja thinks they are in a relationship and becomes jealous until she learns that Thennal is already married.
Pooja comes home to stay with her parents and continues her pursuit of Giri by helping him with his social activities like performing community weddings. Now Giri is 28 and Pooja is 21. During this time, she surprises him by helping to publish a book his mother wrote. Though Pooja thinks Giri has started to care for her, she is shocked to learn that Giri is engaged to Sreelakshmi (Nimisha Suresh), one of their childhood friends. She learns that David had betrayed Giri in their college days hence David runs away whenever he sees Giri. One day after Church, David asks Pooja and Giri to help him elope with his love interest Nazeema. After they help him, David gives Giri a letter, telling him only to read it after they've left. When Giri opens the letter, he finds out that Kaanjani had actually eloped with Sreelakshmi. Pooja once again returns to her normal self.
Later, Pooja's Wine Aunty takes her to Giri. They go to the same place where Pooja had first proposed to Giri. As she walks up to Giri, he admits that he has loved her all along. He reveals that he kept some memories like the locket that Pooja originally gave him during her proposal. They get married soon after and Pooja reveals that Dr. Prasad has married Anna, Neetu has married Yardley and that things were going well. Presently, they (Pooja, Giri and their toddler daughter) are visiting her friend Anna. During their pep-talk, Prasad enquires about the daughter's name to which Giri replies is ""Julie"" (named after Giri's ex-girlfriend) much to Pooja's annoyance, which she narrates in the end that ""men never forget their first lovers""."
1951,The Adventurers,British,David MacDonald,"Jack Hawkins, Peter Hammond",adventure,https://en.wikipedia.org/wiki/The_Adventurers_(1951_film),As the Boer War finalises a South African soldier hides a cache of diamonds he finds on a body. He returns to the town he left three years earlier where his girl has married a disgraced English officer. Needing funds to get back to pick up the diamonds the Boer enlists the help of a fellow soldier as well as the Englishman and a local hotel keeper.[2]
2013,Krrish 3,Bollywood,Rakesh Roshan,"Hrithik Roshan, Priyanka Chopra, Kangana Ranaut, Vivek Oberoi[116]",superhero,https://en.wikipedia.org/wiki/Krrish_3,"Scientist Rohit Mehra lives with his son Krishna Mehra (both played by Hrithik Roshan) in Mumbai. Krishna is married to Priya (Priyanka Chopra), a journalist for Aaj Tak. Rohit works in a research institute for the Indian government and Krishna, while moonlighting as the superhero Krrish, is regularly fired from various day jobs due to lack of attendance. Rohit is researching on a device that will bring life to dead tissues by the use of solar energy. Despite several attempts, he fails to complete the experiment due to the high intensity of sun rays. On a usual day, Krishna loses his job from the security wing of a company when he hears news about an aeroplane whose front tyres are stuck due to some malfunctioning which creates high risk, even if landed, it may explode and so will the passengers inside. Krishna immediately changes himself to Krrish and saves the plane from accident by holding the landing gear in place to allow the tyres to support the nose of the craft.
A few days later, Rohit hears about a deadly disease spreading in Namibia due to a virus whose antidote has not yet been discovered. He consults his friend Dr. Varun Shetty (Arif Zakaria) about the situation. Meanwhile, Shetty receives a phone call from Dr. Alok Sen (Asif Basra), a scientist working for Kaal Laboratories who insists on meeting him in order to reveal information about the virus and its antidote. Both Sen and Shetty are, however, murdered by Kaya (Kangana Ranaut), a shapeshifting female mutant. She is the henchwoman of Kaal (Vivek Oberoi), a handicapped evil genius who possesses telekinetic powers. Kaal creates a team of human-animal hybrids called ""maanvars"", with distinct physical powers in order to cure himself but fails. Later it is revealed the virus in Namibia was spread by Kaal himself to incur huge profits by selling its antidote, the singular source of which is his blood.
Rohit discovers that the virus, which is fast spreading through Mumbai, has no effect on Krishna, the pregnant Priya or himself. He, thus, makes an antidote by using the blood from Krishna's bloodstream which he spreads with the help of explosions. An enraged Kaal sends his mutants to attack Rohit and find out how an antidote was developed without using his own blood. Krrish manages to save Rohit, but Priya is injured and hospitalised. Krrish, however, manages to defeat the mutant Striker (Gowhar Khan). Kaya, carrying out Kaal's instructions, shapeshifts into Priya while Priya is kidnapped by Kaal. Posing as Priya, Kaya leads Krishna to believe that Priya has lost her child, and continues to live with the Mehras. While finding the truth behind the antidote's formula she develops an attraction towards Krishna. Failing to get answers about Frog Man's involvement with the virus attack, Rohit travels to Singapore to seek answers from Dr. Siddhant Arya's (Naseeruddin Shah) partner, where he is kidnapped by Kaal's men. Meanwhile, Krishna discovers the true identity of Priya; furious, he reveals himself as Krrish to Kaya and orders her to take him to Kaal's laboratory. Having fallen in love with Krishna, Kaya decides to help rescue his wife.
At Kaal's laboratory, it is revealed that Kaal is Rohit's son, who was created by an experiment conducted by Dr. Arya while Rohit was held hostage by him years earlier. The child was born handicapped, and was thus given away to an orphanage from where he was adopted by a wealthy man (Mohnish Behl). Kaal uses Rohit's bone marrow to successfully cure his handicap. Meanwhile, Kaya saves Priya and unites her with Krrish; she is, however, murdered by Kaal for her disloyalty. Kaal subsequently murders Krrish, and dons a metal suit. Deeply disturbed by his son's death, Rohit decides to re-use his failed experiment to bring dead tissues to life in order to save Krishna. This time, however, he absorbs the excess energy himself. The process simultaneously kills Rohit and transfers his powers to a revived Krishna. Meanwhile, Kaal threatens to destroy the city of Mumbai if Priya does not surrender to him. Krrish re-emerges and, after several unsuccessful attempts, manages to kill him using Rohit's solar experiment.
Six months later, Priya names their new-born son Rohit, who also exhibits superpowers."
2007,Naayi Neralu,Kannada,Girish Kasaravalli,"Pavithra Lokesh, Ananya Kasaravalli",unknown,https://en.wikipedia.org/wiki/Naayi_Neralu,"Acchanniah lives with his wife Nagalakshmi and his widowed daughter-in-law Venkatalakshmi in a remote village in Karnataka. His granddaughter Rajalakshmi is in a distant city completing her studies. Acchanniah learns from a friend that a young man in a distant village claims that he was the son of Acchanniah in his previous birth. He dismisses the information as baseless. But his ailing wife believes or rather chooses to believe that her son who died twenty years ago has come back.
Acchanniah sets out to meet the young man who is about twenty years old and provides some information regarding his previous birth which tallies with or appears to tally with his previous birth. Acchanniah brings home this man whose name is Vishwa. Acchannaih's wife realises a new purpose in living and accepts this stranger as her son. But Venkatalakshmi, Acchanniah's daughter-in-law, finds it difficult to accept some stranger as her long-lost husband. After some initial resistance, Venkatalakshmi realises that this is an opportunity to attain all that she is restrained from. Her desires emerge again and she accepts Vishwa as her husband. It is here that problems start.
The society which forced her to believe it is her husband does not approve of Venkatalakshmi accepting the man as her husband and living with him. Rajalakshmi swears that this stranger who is her age is not her father. She tries to convince her mother to come out of such a delusion but to no avail. Acchanniah and Nagalakshmi are shocked to hear that Venkatalakshmi is pregnant with Vishwa's child. Matter complicate and Acchanniah is humiliated in the public by his fellow Brahmins. Venkatalakshmi sensing the intensity of the situation leaves the village and lives in a god-forsaken place with Vishwa. She has a hard life trying to manage ends meet. Vishwa is an eccentric young man and keeping him in control is not easy. To worsen things, Vishwa is attracted to Sukri, a young woman from the worker class. Nagalakshmi dies unable to digest these bizarre happenings. Rajalakshmi decides to seek the help of the court to get her mother back. They file a false complaint on Vishwa. Aware of the family's sinister motives, Vishwa refuses to return to Venkatalakshmi.
Meanwhile, a daughter is born to Venkatalakshmi. The court announces Vishwa guilty and he is sent to two years rigorous imprisonment. But Venkatalakshmi declares that she will wait for him to be released although she is certain that he will not return to her. She tells her daughter that she never believed that Vishwa was her husband reincarnate."
2016,Insomnia Lover,Chinese,Yuan Jie,"Treechada Petcharat, Deng Zifeng, Yang Liao, Zhao Yixin, Patrick Tam, Teddy Lin, Wong Yat-fei, Kingdom Yuen",comedy / romance,https://en.wikipedia.org/wiki/Insomnia_Lover,"An Ding, a freelance insomnia therapist meets a beautiful girl at a beach in Shenzhen. After finding out that she needs help in going to sleep, he makes her falls to sleep on her beach chair and sticks on her chest his business card sticker. In a nightclub he meets his goddess who disappears after he comes back from the toilet. That same woman goes to his clinic to seek treatment accompanied by her girlfriend Xiao-chen and An Ding finds out her name is Miao Tiao. Miao Tiao works in an insurance firm. Later, in the same nightclub Miao Tiao and Xiao-chen are saved by An Ding and his friend Fei from two male patrons of the nightclub that are harassing them. Thus begins a one-sided love affair between An Ding and Miao Tiao. The movie ended happily with Miao Tiao finally accepting An Ding's love and reciprocates."
1985,Mischief,American,Mel Damski,"Doug McKeon, Catherine Mary Stewart",comedy,https://en.wikipedia.org/wiki/Mischief_(film),"In Nelsonville, Ohio, in 1956, the relationship between the introverted, clumsy Jonathan Bellah and the nonconformist, extroverted Eugene ""Gene"" Harbrough begins to develop. Jonathan's main objective is to win over the sexy Marilyn McCauley, in spite of his shyness, while Gene has his own love life to maintain with his girlfriend Bunny Miller, as well as counseling Jonathan on how to attract women. Gene also has to defend Jonathan and himself from the wealthy class bully, Kenny, Bunny's jealous jock boyfriend, while trying to work out a borderline relationship with his widowed father, who has zero tolerance for his often wild escapades."
2016,Sadhuram 2,Tamil,Sumanth Radhakrishnan,"Yog Japee, Rohit Nair, Riaz, Sanam Shetty",thriller,https://en.wikipedia.org/wiki/Sadhuram_2,"Vishal (Riaz) and Dr.Vasudevan (Yog Japee) wake up one day to find out that they both are stuck inside a square room devoid of any furniture. The only other element in the room apart from the two of them is the dead body of a man lying in the middle of the room, blood soaked. Vishal and Dr.Vasudevan do not know each other. Soon, Vishal realises that there is a tape recorder near him, he finds a cassette in his pocket, which he plays. The cassette welcomes him to the SQUARE and tells him that his only way of escaping is by finding a clue that only the guy opposite him can see. Soon, Dr.Vasudevan plays the cassette from his pocket and the recording again welcomes him to the SQUARE and tells him that he has been doing a lot of good by saving lives as a Doctor and yet he has committed a grave mistake which he is now getting punished for. He is told that there is only 8 hours remaining for him to escape and his escape would only be by killing the one opposite him.
Vishal, unwilling to cooperate with Dr.Vasudevan cries, screams asking the kidnapper to let him go. Finally coming to terms with their capture, encouraged to think objectively by Dr.Vasudevan, Vishal gives in. They both start working together to find out ways to escape by charting the clues the kidnapper gives.
Meanwhile, on another plane, Siva, working in a multi-national company is told that he has been selected as the ""Employee of the Decade"" and will have to collect his coveted award from their Delhi Headquarters. He comes home to a good news that his wife – Dhivya (Suja Varunee), who is pregnant has conceived twin babies. Overly rejoiced, the couple celebrate their good luck.
As Dr.Vasudevan and Vishal discuss, recall and think, we uncover their personal lives. Dr.Vasudevan a reputed Doctor from a Government Medical Centre is married and has a teenage daughter. But he has an ongoing relationship with one of his trainee students – Dr.Preethi (Sanam Shetty) While he is honest for the most part of his professional life, he is threatened by another trainee student Dr. Shankar (Brihadish Kaushik) to re-write a Postmortem report of a rape victim in favour of the accused (an MP’s son). He is threatened with photos of him with Dr. Preethi. Scared, Dr. Vasudevan sells out.
Vishal on the other hand is a photographer who takes pictures of people in their intimate moments, mostly done on request by certain clients. One such assignment he was given by Dr. Shankar, to follow and take pictures of Dr.Vasudevan along with Dr.Preethi. Dr. Vasudevan gets shocked knowing Vishal already knows him and is partly the reason why he is in the SQUARE.
Meanwhile, Siva and his wife Dhivya prepare to leave to Delhi to receive his award and their flight meets with a tragic accident.
Back in the square, Dr.Vasudevan tells Vishal that a few months earlier a Lawyer was killed brutally in a similar fashion of the dead man in the middle of the room. He says he was suspected of that murder as he was the Lawyer who had demanded he change the Postmortem report. Although his innocence was proved, one CBCID Police officer Aadhi (Birla Bose) stills suspected Dr.Vasudevan.
Upon getting a certain lead, long after the case got over, Aadhi goes in search of the killer (then deemed Serial killer) sure that it was Dr.Vasudevan. The killer escapes from his clutches, in the process gravely injuring him, puncturing his vocal cord. Long after, Aadhi still tries to pin the whole case on Dr.Vasudevan hoping to catch him at his weakest.
Vishal and Dr.Vasudevan get suspicious that their kidnapper might be Dr.Shankar. Dr.Vasudevan comes to know that his wife and daughter have been kidnapped by him too, as a security measure in case Dr.Vasudevan tries to escape. Heart-broken and with no way out Dr.Vasudevan starts realising the value of his family. The love they have for him and the love he has for them.
We go back in time to see that Dhivya finds out that Siva is terminally ill and he has been undergoing treatment without telling her a word about it. She breaks down and cries. Siva tells her that not everyone gets the best in life. He asks her to appreciate what they’ve got in life.
CBCID Aadhi goes to Dr.Vasudevan’s office suspecting something. Inside, Dr.Shankar holds Dr.Vasudevan’s wife and daughter captive. They try to escape and hearing gunshot, Aadhi arrives at the spot. Shankar escapes from him and heads elsewhere.
Dr.Vasudevan, unable to wait for rescue any longer and losing patience decides to break free by cutting his leg free from the chain. Vishal tries to stop him. Dr. Vasudevan shoots Vishal like the kidnapper commanded earlier and breaks away to leave the square. Vishal regains consciousness and realises the Doctor had carefully shot him on his shoulder so as not to mortally injure him. He tries to escape when the dead body in his midst wakes up. It is Siva and he is the mastermind behind the whole square.
Siva who upon recovering from his flight accident, finds out about the girl’s rape and how the lawyer, Dr.Shankar and Dr.Vasudevan played their part in defending the convict. He realises that Vishal was instrumental in instigating this and spoiling several other lives by clicking pictures of their intimate moments. He decides to destroy all their lives. He kills the lawyer first, pushes Dr.Shankar to kidnap Vishal and Dr.Vasudevan and thereafter Dr.Vasudevan’s wife and kid. Dr. Shankar and Aadhi have a tough fight at the end of which Dr.Shankar kills Aadhi. He comes to the square to finish the two of them. But Vishal kills him in the process.
In the end, Siva wakes up from his act, tells Vishal that all he had to do was cooperate and work with Dr.Vasudevan to find his escape route which is written right on his back. Siva tells him that he has lost and he deserves to rot in the square. Siva leaves the square promising to return with others who don’t appreciate their lives."
1994,Killadi Mappillai,Tamil,J. George Prasad,"Pandiarajan, Sindhuja, Divyasri",unknown,https://en.wikipedia.org/wiki/Killadi_Mappillai,"Rajaram (Pandiarajan) and his friend Dhanapal (Chinni Jayanth) are college students and they live together. Rajaram's father (Mohan Gandhiraman) decides to arrange the wedding between Rajaram and his relative Sarasu (Divyasri) who is very outspoken. Rajaram is first reluctant about this marriage but he accepts because of his father's insistence. Sarasu really loves Rajaram. In the meantime, Rajaram falls in love with the college girl Shanthi (Sindhuja). When Rajaram proposes his love to Shanthi, she rejects it. Shanthi even so advises him to convince her parents. What transpires later forms the crux of the story."
2008,Be Kind Rewind,American,Michel Gondry,"Jack Black, Mos Def, Danny Glover",comedy,https://en.wikipedia.org/wiki/Be_Kind_Rewind,"In Passaic, New Jersey, the declining ""Be Kind Rewind"" VHS rental store owned by Mr. Elroy Fletcher (Danny Glover) is due to be demolished to make way for high-end development (due in large part to the refusal of Mr. Fletcher to rent out DVDs) unless he can find the money to renovate his building, despite his claims that jazz pianist Fats Waller was born in that building. Mr. Fletcher leaves on a trip for several days to join friends and memorialize Waller, as well as visiting a DVD rental store to learn efficient and modernized ways of running a video rental store, leaving his only employee, Mike (Mos Def), to tend to the store. Before leaving Mr. Fletcher cautions Mike to keep his paranoid and klutzy friend, Jerry (Jack Black), away from the store. After attempting to sabotage a nearby electrical substation, believing its energy to be melting his brain, Jerry becomes magnetized, and when he enters the store the next day, he inadvertently erases all the VHS tapes in the store (as well as making the camera go out of focus, whenever he walks past it). Mike quickly discovers the disaster, and is further pressed when Miss Falewicz (Mia Farrow), Mr. Fletcher's friend, wants to rent Ghostbusters. To prevent her from reporting a problem to Mr. Fletcher, Mike comes up with an idea: as Miss Falewicz has never seen the movie, he proposes to recreate the film using himself and Jerry as the actors and cheap special effects hoping to fool her. They complete the movie just in time when another customer asks for Rush Hour 2. Mike and Jerry repeat their filming, enlisting the help of Alma (Melonie Diaz), a local woman, for some of the parts.
Word of mouth spreads through Miss Falewicz's nephew (Chandler Parker) of the inadvertently hilarious results of Mike and Jerry's filming, and soon the store is seeing more requests for such movies. Mike, Jerry, and Alma quickly pass off the movies as being ""sweded"", insisting the films came from Sweden and thus able to demand long wait times and higher costs for the rental. Soon, to meet demand, Mike and Jerry enlist the locals to help out in making the movies, using them as starring roles in their films. When Mr. Fletcher returns, intent on converting the store to a DVD rental outlet, he quickly recognizes that they are making more money from the sweded films than from normal rentals, and joins in with the process. However, the success is put to a halt when two court bailiffs (Sigourney Weaver and Paul Dinello) arrive, insisting the sweded films are copyright violations, and seize the tapes and the store's assets, crushing the tapes with a steamroller. Without any money to renovate the building, Mr. Fletcher gives up hope, and is forced to reveal to Mike that he made up the connection of Fats Waller to their building. Mr. Fletcher is given a week to evacuate the building before it will be razed.
Jerry, with the help of the local townspeople, convinces Mr. Fletcher and Mike to give one last hurrah and put together a documentary dedicated to the fake life of Fats Waller, and the two quickly warm up to the idea. On the day the building is scheduled for demolition, Mr. Fletcher invites all the locals to watch the final film. In his eagerness to start the show due to the presence of the demolition crew waiting to start the job, Jerry accidentally breaks the only TV the store has, but a nearby DVD store owner loans them his video projector, allowing them to show the movie on a white cloth placed in the store's window. As their film ends, Mr. Fletcher, Mike and Jerry exit the store to find a crowd has gathered in the street to watch the film through the window, including the city official and wrecking crew, and they are given a rousing applause by the gathered crowd."
2005,Keeping Mum,British,Niall Johnson,"Rowan Atkinson, Kristin Scott Thomas",comedy,https://en.wikipedia.org/wiki/Keeping_Mum,"In the opening scene, as young pregnant Rosie Jones (Emilia Fox) rides on a train, her very large suitcase starts leaking blood. When questioned by the police about the two dismembered bodies found inside, she calmly reveals that they are of her unfaithful husband and his mistress. She is then sentenced by the judge (Roger Hammond) to a secure unit for the criminally insane for manslaughter on the grounds of diminished responsibility.
Forty-three years later, in the village of Little Wallop, Walter Goodfellow, the vicar (Rowan Atkinson) is very busy writing the perfect sermon for a convention, having no idea about the problems in his house. They include the unfulfilled emotional needs of his wife Gloria, (Kristin Scott Thomas) who subsequently starts an affair with her golf instructor, Lance (Patrick Swayze); the sexual desires and growing maturity of his teenage daughter, Holly (Tamsin Egerton) who is constantly finding new boyfriends; and son, Petey (Toby Parkes) who is being bullied at school. Then, everything changes with the arrival of the new housekeeper, Grace (Maggie Smith).
Grace becomes entrenched in the life of the family and begins to learn about the problems in the house: the neighbour, Mr. Brown's dog Jack Russell terrier, Clarence, who consistently disturbs Gloria's sleep by his nuisance barking; the bullying of Petey; and Gloria and Lance's affair. Grace commits to solving the problems in her own way.
She kills Clarence, and when Mr. Brown finds out that his dog has been murdered (after long assuming he had run off), she kills him, too. She sabotages the brakes on the bullies' bicycles, injuring one of them, thereby making Petey very happy. After catching the golf instructor outside the house videotaping Holly undressing one night, she kills him with an iron.
While Walter is preparing his sermon for the conference, Grace introduces him to humour and suggests adding it to his preaching method. Further, she discovers that he has let his relationship with his wife slide on account of his devotion to God, and she teaches him that he can love his wife as well as God by drawing his attention to the erotic references in the Song of Solomon. As the problems in the household seem to gradually clear, Walter leaves for his convention.
Grace’s habits are discovered when Gloria and Holly see her picture on television in a news story mentioning her release and previous offences. It is then that Grace reveals that she is Gloria's long-lost mother, Rosie Jones, explaining why she came to Little Wallop in the first place[further explanation needed]. After briefly processing the influx of information, Gloria argues and attempts to explain that when having a problem with someone, one cannot just kill them. Grace remarks that this is the one thing she and her doctors could never agree on. Despite their disagreements, Gloria tries to help Grace with Lance's body, but cannot handle it. Over a cup of tea, the three women decide not to tell Walter or Petey any of what has happened.
When nagging congregant, Mrs. Parker (Liz Smith) comes over to discuss the problem of the “church flower arranging committee”, Grace, under the false (and likely paranoia-induced) impression that Mrs. Parker is about to turn them in for their crimes, attempts to hit her over the head with a frying pan, but is prevented by Gloria. Mrs. Parker, shocked by the attempt to murder her, ironically has a heart attack and dies. Walter returns from the convention just then and sees Mrs. Parker's body, but doesn't realise she is dead. Soon after this, Grace leaves the family when order is seemingly restored among the family.
At the end of the film, Walter talks to Bob and Ted, the water works employees, about the pond at the Vicar's house. They say that there is too much algae and the pond needs to be drained. Remembering that Grace has disposed of her victims in the pond, Gloria, with a disturbingly cheerful expression, offers the two men some tea. The film closes with an underwater shot depicting the bodies that had been placed in the pond, including the recently added bodies of Bob and Ted."
